"","NAME2","ISLAND","date","mean_Kd490_ESA_OC_CCI_8Day_SPAN","q05_Kd490_ESA_OC_CCI_8Day_SPAN","q95_Kd490_ESA_OC_CCI_8Day_SPAN","sd_Kd490_ESA_OC_CCI_8Day_SPAN"
"24","KONA NIH","Niihau","2019",0.03250360033138,0.0283918829634786,0.038539071008563,0.00316668437271747
"25","PUNA NIH","Niihau","2013",0.0307703069708449,0.0268753448501229,0.0351232632994652,0.00285841581532519
"26","PUNA NIH","Niihau","2016",0.0297349675538692,0.0267899258062243,0.0341603167355061,0.00234834142265833
"27","PUNA NIH","Niihau","2019",0.0312224551242717,0.027384284697473,0.0357139248400927,0.00290573273606443
"28","KOOLAULOA","Oahu","2013",0.0365132582684358,0.0312021300196648,0.0410024233162403,0.00398831076202305
"29","KOOLAULOA","Oahu","2016",0.0370400739001467,0.0311046179383993,0.0454735849052667,0.0049587746711254
"30","KOOLAULOA","Oahu","2019",0.0367569155356985,0.0314154960215092,0.0428992457687855,0.00377531263796624
"31","WAIALUA","Oahu","2013",0.0349789336737659,0.0302472211420536,0.0419925324618816,0.00450237764494289
"32","WAIALUA","Oahu","2016",0.034188236882712,0.030173353664577,0.0391805402934551,0.00297106440502765
"33","WAIALUA","Oahu","2019",0.0350446987183804,0.0318485990166664,0.0394266545772552,0.00261871743627609
"34","WAIANAE","Oahu","2013",0.0363350877199661,0.0293799077160656,0.0431631816551089,0.00472978406007662
"35","WAIANAE","Oahu","2016",0.03478141188463,0.0286570364609361,0.0425498571246862,0.00541889784696515
"36","WAIANAE","Oahu","2019",0.0351251619372596,0.030009974911809,0.0408075477927923,0.00367625702643587
"37","EWA","Oahu","2013",0.0462547743126102,0.0354286953806877,0.0612563248723745,0.00831510514429476
"38","EWA","Oahu","2016",0.0429057904935264,0.0321888722479343,0.0551753789186478,0.00741220828946584
"39","EWA","Oahu","2019",0.037556653525284,0.0290461480617523,0.0462704416364431,0.00585766487116111
"40","KOOLAUPOKO","Oahu","2013",0.0332731837406754,0.0287750884890556,0.0387230766937137,0.00380916431509772
"41","KOOLAUPOKO","Oahu","2016",0.0330098192108438,0.0283265942707658,0.0385854966938496,0.00343748353813184
"42","KOOLAUPOKO","Oahu","2019",0.0333944725942739,0.02886120993644,0.0377249598503113,0.00310975193050803
"43","KONA OAH","Oahu","2013",0.0364633559289834,0.0315253287553787,0.0422366233542562,0.00425663009400117
"44","KONA OAH","Oahu","2016",0.0347614033108062,0.029426091350615,0.0416676696389914,0.0040837535369991
"45","KONA OAH","Oahu","2019",0.0332940424534869,0.0289536312222481,0.0393801223486662,0.00339267115774711
"46","KOOLAU MOL","Molokai","2013",0.034761726023986,0.0303698729723692,0.0393507994711399,0.00316164094182849
"47","KOOLAU MOL","Molokai","2016",0.0350475409959859,0.0294611470773816,0.0421243093907833,0.00452181683071787
